gold_definition,retriever,query_count,hit_at_1,hit_at_5,hit_at_10,recall_at_1,recall_at_5,recall_at_10,mrr
raw_all,bm25,309,0.313916,0.521036,0.576052,0.235167,0.416052,0.472342,0.398776
raw_all,dense_cls,309,0.414239,0.650485,0.71521,0.317907,0.533279,0.596074,0.512704
raw_all,hybrid_cls,309,0.375405,0.63754,0.705502,0.285578,0.511036,0.584499,0.48261
raw_clean,bm25,267,0.314607,0.520599,0.580524,0.252185,0.433021,0.491823,0.399551
raw_clean,dense_cls,267,0.423221,0.64794,0.719101,0.34407,0.557678,0.624719,0.515915
raw_clean,hybrid_cls,267,0.382022,0.636704,0.700375,0.309613,0.538639,0.608989,0.484521
high_confidence_reconciled,bm25,11,0.181818,0.181818,0.272727,0.136364,0.136364,0.227273,0.190909
high_confidence_reconciled,dense_cls,11,0.090909,0.181818,0.272727,0.045455,0.136364,0.227273,0.145455
high_confidence_reconciled,hybrid_cls,11,0.0,0.363636,0.545455,0.0,0.272727,0.409091,0.142424
resolved_agreement,bm25,309,0.313916,0.521036,0.576052,0.235167,0.416052,0.472342,0.398776
resolved_agreement,dense_cls,309,0.414239,0.650485,0.71521,0.317907,0.533279,0.596074,0.512704
resolved_agreement,hybrid_cls,309,0.375405,0.63754,0.705502,0.285578,0.511036,0.584499,0.48261
