gold_definition,left_method,right_method,metric,query_count,observed_difference_left_minus_right,bootstrap_ci_low,bootstrap_ci_high,bootstrap_samples,seed
raw_all,dense_cls,hybrid_cls,hit_at_5,309,0.012945,-0.032362,0.055016,10000,42
raw_all,dense_cls,hybrid_cls,hit_at_10,309,0.009709,-0.029126,0.048544,10000,42
raw_all,dense_cls,hybrid_cls,recall_at_5,309,0.022243,-0.014305,0.058651,10000,42
raw_all,dense_cls,hybrid_cls,recall_at_10,309,0.011575,-0.018664,0.04178,10000,42
raw_all,dense_cls,hybrid_cls,mrr,309,0.030093,-0.003138,0.062713,10000,42
raw_all,dense_cls,bm25,hit_at_5,309,0.12945,0.07767,0.184466,10000,42
raw_all,dense_cls,bm25,hit_at_10,309,0.139159,0.087379,0.190939,10000,42
raw_all,dense_cls,bm25,recall_at_5,309,0.117227,0.071703,0.162901,10000,42
raw_all,dense_cls,bm25,recall_at_10,309,0.123732,0.079663,0.16931,10000,42
raw_all,dense_cls,bm25,mrr,309,0.113927,0.067325,0.160956,10000,42
raw_all,hybrid_cls,bm25,hit_at_5,309,0.116505,0.07767,0.15534,10000,42
raw_all,hybrid_cls,bm25,hit_at_10,309,0.12945,0.087379,0.171521,10000,42
raw_all,hybrid_cls,bm25,recall_at_5,309,0.094984,0.063536,0.127942,10000,42
raw_all,hybrid_cls,bm25,recall_at_10,309,0.112157,0.077367,0.147251,10000,42
raw_all,hybrid_cls,bm25,mrr,309,0.083834,0.05498,0.113679,10000,42
raw_clean,dense_cls,hybrid_cls,hit_at_5,267,0.011236,-0.033708,0.05618,10000,42
raw_clean,dense_cls,hybrid_cls,hit_at_10,267,0.018727,-0.022472,0.059925,10000,42
raw_clean,dense_cls,hybrid_cls,recall_at_5,267,0.019039,-0.021848,0.059925,10000,42
raw_clean,dense_cls,hybrid_cls,recall_at_10,267,0.01573,-0.017792,0.049126,10000,42
raw_clean,dense_cls,hybrid_cls,mrr,267,0.031394,-0.002625,0.066179,10000,42
raw_clean,dense_cls,bm25,hit_at_5,267,0.127341,0.071161,0.183521,10000,42
raw_clean,dense_cls,bm25,hit_at_10,267,0.138577,0.082397,0.194757,10000,42
raw_clean,dense_cls,bm25,recall_at_5,267,0.124657,0.074095,0.175409,10000,42
raw_clean,dense_cls,bm25,recall_at_10,267,0.132896,0.082458,0.183333,10000,42
raw_clean,dense_cls,bm25,mrr,267,0.116363,0.066547,0.165083,10000,42
raw_clean,hybrid_cls,bm25,hit_at_5,267,0.116105,0.074906,0.161049,10000,42
raw_clean,hybrid_cls,bm25,hit_at_10,267,0.11985,0.074906,0.164794,10000,42
raw_clean,hybrid_cls,bm25,recall_at_5,267,0.105618,0.070974,0.143258,10000,42
raw_clean,hybrid_cls,bm25,recall_at_10,267,0.117166,0.078277,0.15774,10000,42
raw_clean,hybrid_cls,bm25,mrr,267,0.08497,0.052134,0.117175,10000,42
high_confidence_reconciled,dense_cls,hybrid_cls,hit_at_5,11,-0.181818,-0.545455,0.181818,10000,42
high_confidence_reconciled,dense_cls,hybrid_cls,hit_at_10,11,-0.272727,-0.636364,0.090909,10000,42
high_confidence_reconciled,dense_cls,hybrid_cls,recall_at_5,11,-0.136364,-0.454545,0.181818,10000,42
high_confidence_reconciled,dense_cls,hybrid_cls,recall_at_10,11,-0.181818,-0.5,0.136364,10000,42
high_confidence_reconciled,dense_cls,hybrid_cls,mrr,11,0.00303,-0.166667,0.2,10000,42
high_confidence_reconciled,dense_cls,bm25,hit_at_5,11,0.0,-0.363636,0.363636,10000,42
high_confidence_reconciled,dense_cls,bm25,hit_at_10,11,0.0,-0.454545,0.454545,10000,42
high_confidence_reconciled,dense_cls,bm25,recall_at_5,11,0.0,-0.272727,0.272727,10000,42
high_confidence_reconciled,dense_cls,bm25,recall_at_10,11,0.0,-0.363636,0.363636,10000,42
high_confidence_reconciled,dense_cls,bm25,mrr,11,-0.045455,-0.372727,0.272727,10000,42
high_confidence_reconciled,hybrid_cls,bm25,hit_at_5,11,0.181818,0.0,0.454545,10000,42
high_confidence_reconciled,hybrid_cls,bm25,hit_at_10,11,0.272727,0.0,0.545455,10000,42
high_confidence_reconciled,hybrid_cls,bm25,recall_at_5,11,0.136364,0.0,0.318182,10000,42
high_confidence_reconciled,hybrid_cls,bm25,recall_at_10,11,0.181818,0.0,0.409091,10000,42
high_confidence_reconciled,hybrid_cls,bm25,mrr,11,-0.048485,-0.248485,0.121212,10000,42
resolved_agreement,dense_cls,hybrid_cls,hit_at_5,309,0.012945,-0.032362,0.055016,10000,42
resolved_agreement,dense_cls,hybrid_cls,hit_at_10,309,0.009709,-0.029126,0.048544,10000,42
resolved_agreement,dense_cls,hybrid_cls,recall_at_5,309,0.022243,-0.014305,0.058651,10000,42
resolved_agreement,dense_cls,hybrid_cls,recall_at_10,309,0.011575,-0.018664,0.04178,10000,42
resolved_agreement,dense_cls,hybrid_cls,mrr,309,0.030093,-0.003138,0.062713,10000,42
resolved_agreement,dense_cls,bm25,hit_at_5,309,0.12945,0.07767,0.184466,10000,42
resolved_agreement,dense_cls,bm25,hit_at_10,309,0.139159,0.087379,0.190939,10000,42
resolved_agreement,dense_cls,bm25,recall_at_5,309,0.117227,0.071703,0.162901,10000,42
resolved_agreement,dense_cls,bm25,recall_at_10,309,0.123732,0.079663,0.16931,10000,42
resolved_agreement,dense_cls,bm25,mrr,309,0.113927,0.067325,0.160956,10000,42
resolved_agreement,hybrid_cls,bm25,hit_at_5,309,0.116505,0.07767,0.15534,10000,42
resolved_agreement,hybrid_cls,bm25,hit_at_10,309,0.12945,0.087379,0.171521,10000,42
resolved_agreement,hybrid_cls,bm25,recall_at_5,309,0.094984,0.063536,0.127942,10000,42
resolved_agreement,hybrid_cls,bm25,recall_at_10,309,0.112157,0.077367,0.147251,10000,42
resolved_agreement,hybrid_cls,bm25,mrr,309,0.083834,0.05498,0.113679,10000,42
